Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,CloseSMA5,NormVolumeLag1,Target
2000-01-03T05:00:00.000000+0000,3.129,3.129,3.048,3.048,68140.0,,,,0.081,,,,0.081,,,,,,,,,,,,,0
2000-01-04T05:00:00.000000+0000,3.188,3.188,3.137,3.159,111857.0,3.048,,,0.052,0.081,,,0.029,0.081,,,68140.0,,,3.048,3.048,3.048,0.03559084118334038,,,1
2000-01-05T05:00:00.000000+0000,3.151,3.196,3.122,3.196,234705.0,3.159,3.048,,0.074,0.052,0.081,,-0.044,0.029,0.081,,111857.0,68140.0,,3.122,3.113,3.108,0.011587432911461552,,,1
2000-01-06T05:00:00.000000+0000,3.166,3.181,3.107,3.144,48358.0,3.196,3.159,3.048,0.074,0.074,0.052,0.081,0.022,-0.044,0.029,0.081,234705.0,111857.0,68140.0,3.164,3.15,3.143,-0.01626047684040221,,,0
2000-01-07T05:00:00.000000+0000,3.24,3.358,3.24,3.358,292832.0,3.144,3.196,3.159,0.118,0.074,0.074,0.052,-0.118,0.022,-0.044,0.029,48358.0,234705.0,111857.0,3.153,3.148,3.143,0.06570919074416648,,,1
2000-01-10T05:00:00.000000+0000,3.328,3.358,3.306,3.328,101844.0,3.358,3.144,3.196,0.052,0.118,0.074,0.074,0.0,-0.118,0.022,-0.044,292832.0,48358.0,234705.0,3.259,3.223,3.202,-0.008810458757487904,3.181,1.937,0
2000-01-11T05:00:00.000000+0000,3.21,3.24,3.173,3.181,66431.0,3.328,3.358,3.144,0.066,0.052,0.118,0.074,0.029,0.0,-0.118,0.022,101844.0,292832.0,48358.0,3.294,3.258,3.233,-0.04525696370540207,3.237,0.645,0
2000-01-12T05:00:00.000000+0000,3.196,3.21,3.151,3.188,158017.0,3.181,3.328,3.358,0.059,0.066,0.052,0.118,0.007,0.029,0.0,-0.118,66431.0,101844.0,292832.0,3.237,3.233,3.221,0.0023122077883280306,3.241,0.446,1
2000-01-13T05:00:00.000000+0000,3.218,3.218,3.166,3.21,90365.0,3.188,3.181,3.328,0.052,0.059,0.066,0.052,0.007,0.007,0.029,0.0,158017.0,66431.0,101844.0,3.213,3.219,3.214,0.006904346231678643,3.24,1.184,1
2000-01-14T05:00:00.000000+0000,3.203,3.21,3.196,3.21,20760.0,3.21,3.188,3.181,0.015,0.052,0.059,0.066,-0.007,0.007,0.007,0.029,90365.0,158017.0,66431.0,3.211,3.216,3.213,0.0,3.253,0.637,0
2000-01-18T05:00:00.000000+0000,3.122,3.151,3.07,3.151,63744.0,3.21,3.21,3.188,0.081,0.015,0.052,0.059,-0.029,-0.007,0.007,0.007,20760.0,90365.0,158017.0,3.211,3.215,3.213,-0.018518768053361515,3.224,0.237,0
2000-01-19T05:00:00.000000+0000,3.1,3.1,3.048,3.085,41519.0,3.151,3.21,3.21,0.052,0.081,0.015,0.052,0.015,-0.029,-0.007,0.007,63744.0,20760.0,90365.0,3.181,3.196,3.201,-0.02125251815167543,3.188,0.798,0
2000-01-20T05:00:00.000000+0000,3.122,3.188,3.122,3.166,27598.0,3.085,3.151,3.21,0.066,0.052,0.081,0.015,-0.044,0.015,-0.029,-0.007,41519.0,63744.0,20760.0,3.133,3.163,3.18,0.025914366224856662,3.169,0.554,1
2000-01-21T05:00:00.000000+0000,3.107,3.107,3.063,3.063,55440.0,3.166,3.085,3.151,0.044,0.066,0.052,0.081,0.044,-0.044,0.015,-0.029,27598.0,41519.0,63744.0,3.15,3.164,3.178,-0.033100160939392644,3.165,0.566,0
2000-01-24T05:00:00.000000+0000,3.034,3.034,2.975,2.975,176823.0,3.063,3.166,3.085,0.059,0.044,0.066,0.052,0.059,0.044,-0.044,0.015,55440.0,27598.0,41519.0,3.106,3.134,3.158,-0.029269900635718632,3.135,1.326,0
2000-01-25T05:00:00.000000+0000,2.989,3.034,2.975,2.975,30773.0,2.975,3.063,3.166,0.059,0.059,0.044,0.066,0.015,0.059,0.044,-0.044,176823.0,55440.0,27598.0,3.041,3.087,3.126,0.0,3.088,2.421,0
2000-01-26T05:00:00.000000+0000,2.975,2.997,2.938,2.938,55440.0,2.975,2.975,3.063,0.059,0.059,0.059,0.044,0.037,0.015,0.059,0.044,30773.0,176823.0,55440.0,3.008,3.054,3.101,-0.012453583203006014,3.053,0.463,0
2000-01-27T05:00:00.000000+0000,2.916,2.945,2.886,2.908,43961.0,2.938,2.975,2.975,0.059,0.059,0.059,0.059,0.007,0.037,0.015,0.059,55440.0,30773.0,176823.0,2.973,3.02,3.073,-0.010075702735248384,3.023,0.801,0
